,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8851,391639532003,1021.0,25.86,597.0,39938.0,64300.0,24.4,1.22,D,0.149,6.58914728682171,5.19125683060109,27.4599542334096,,11.7782562972608,9.8
8852,391650301011,631.0,3.82,,56439.0,145800.0,,10.53,B,0.761,0.0,9.07372400756144,0.0,,,7.7
8853,391650301012,1563.0,12.9,797.0,72031.0,132600.0,38.5,6.38,B,0.691,0.0,12.4760076775432,17.9439252336449,,11.3617747914093,7.7
8854,391650301013,2216.0,5.2,381.0,67697.0,136400.0,20.7,2.47,B,0.725,5.18806744487678,7.76487663280116,1.91518467852257,,5.86732056073386,7.7
8855,391650301021,2209.0,29.37,793.0,43214.0,125000.0,29.6,2.34,C,0.511,9.375,14.5847400405132,15.8227848101266,,19.7158328319526,6.9
8856,391650301022,479.0,2.09,,70250.0,119500.0,,2.5,C,0.545,20.746887966805,11.1111111111111,3.66492146596859,,,6.9
8857,391650301023,1240.0,31.43,725.0,52279.0,122400.0,22.1,16.54,C,0.538,12.3287671232877,9.12364945978391,9.18367346938776,,12.8770634480384,6.9
8858,391650302001,1241.0,48.3,723.0,39821.0,80200.0,30.3,8.14,D,0.194,17.5738724727838,7.40343347639485,21.1320754716981,,15.338640415861,15.1
8859,391650305011,1666.0,55.6,763.0,50303.0,110000.0,24.5,0.35,C,0.568,3.51351351351351,14.7887323943662,10.5042016806723,,15.2197682046796,11.1
8860,391650305012,2210.0,41.05,547.0,40833.0,118300.0,29.0,2.87,D,0.289,0.0,14.2324425108763,21.923937360179,,15.0466534420689,11.1
8861,391650305031,1525.0,0.0,,94878.0,157700.0,,0.0,A,0.932,0.0,39.6412556053812,0.0,,,3.2
8862,391650305032,2156.0,25.61,896.0,71714.0,173200.0,11.1,0.0,A,0.916,0.0,37.2093023255814,4.22535211267606,,14.9928884178821,3.2
8863,391650305033,1703.0,24.47,1119.0,58906.0,129400.0,18.6,0.78,B,0.712,7.46073298429319,14.4634525660964,2.54596888260255,,15.0137507214885,3.2
8864,391650305041,998.0,0.0,,118750.0,334800.0,,0.0,A,0.988,1.96629213483146,51.270553064275,0.0,,,5.8
8865,391650305042,1729.0,18.82,1027.0,93986.0,215900.0,23.6,0.0,A,0.972,0.0,44.8943661971831,1.29151291512915,,10.3547336837401,5.8
8866,391650305043,2061.0,7.99,1203.0,120703.0,276100.0,31.5,0.0,A,0.984,8.3547557840617,57.9561042524006,0.841514726507714,,9.70315567964342,5.8
8867,391650306001,1700.0,20.22,760.0,58750.0,122500.0,32.3,4.95,C,0.592,8.09659090909091,12.0580235720762,6.26959247648903,,11.8059574468085,2.4
8868,391650306002,2169.0,12.78,,75102.0,148300.0,22.1,0.0,B,0.826,2.64976958525346,17.5949367088608,6.3905325443787,,,2.4
8869,391650307001,2660.0,22.18,710.0,79958.0,217400.0,21.9,0.0,B,0.882,0.0,27.6770040959625,2.95670538542767,,10.1753420545787,11.1
