GEOID,unemployment_rate
390170101014,3.0
390170101015,3.0
390170101021,4.4
390170101022,4.4
390170101023,4.4
390170101031,4.4
390170101032,4.4
390170101033,4.4
390170101034,4.4
390170101041,1.8
390170101042,1.8
390170102011,0.0
390170102021,2.1
390170102022,2.1
390170102023,2.1
390170102031,3.7
390170102032,3.7
390170102033,3.7
390170103011,5.8
390170103012,5.8
390170103013,5.8
390170103021,1.9
390170103022,1.9
390170105001,10.0
390170105002,10.0
390170106001,5.4
390170106002,5.4
390170106003,5.4
390170108001,1.3
390170108002,1.3
390170108003,1.3
390170108004,1.3
390170109011,5.5
390170109012,5.5
390170109013,5.5
390170109014,5.5
390170109015,5.5
390170109031,5.3
390170109032,5.3
390170109033,5.3
390170109034,5.3
390170109041,4.3
390170109042,4.3
390170109043,4.3
390170109044,4.3
390170109045,4.3
390170109061,7.2
390170109062,7.2
390170109063,7.2
390170109064,7.2
390170109065,7.2
390170109071,4.2
390170109072,4.2
390170109081,5.1
390170109082,5.1
390170109083,5.1
390170109084,5.1
390170109091,4.6
390170109092,4.6
390170109093,4.6
390170109101,3.1
390170109102,3.1
390170109103,3.1
390170109111,5.8
390170109112,5.8
390170109113,5.8
390170110021,0.7
390170110022,0.7
390170110023,0.7
390170110024,0.7
390170110025,0.7
390170110031,2.9
390170110032,2.9
390170110033,2.9
390170110041,8.7
390170110042,8.7
390170110043,8.7
390170111091,6.2
390170111092,6.2
390170111093,6.2
390170111094,6.2
390170111101,4.6
390170111102,4.6
390170111103,4.6
390170111104,4.6
390170111111,2.9
390170111112,2.9
390170111113,2.9
390170111114,2.9
390170111121,2.7
390170111122,2.7
390170111123,2.7
390170111161,1.7
390170111162,1.7
390170111163,1.7
390170111164,1.7
390170111171,2.6
390170111172,2.6
390170111173,2.6
390170111174,2.6
390170111175,2.6
390170111176,2.6
390170111181,0.6
390170111182,0.6
390170111201,2.9
390170111202,2.9
390170111203,2.9
390170111211,2.0
390170111212,2.0
390170111221,1.6
390170111231,6.8
390170111232,6.8
390170111251,0.8
390170111252,0.8
390170111253,0.8
390170111261,1.6
390170111262,1.6
390170111271,1.7
390170111272,1.7
390170111281,5.9
390170111282,5.9
390170111291,1.9
390170111292,1.9
390170111301,2.7
390170111302,2.7
390170111303,2.7
390170111311,4.7
390170111312,4.7
390170112001,3.3
390170112002,3.3
390170112003,3.3
390170113001,4.0
390170113002,4.0
390170113003,4.0
390170118001,4.9
390170118002,4.9
390170118003,4.9
390170121001,5.1
390170121002,5.1
390170122001,14.5
390170122002,14.5
390170122003,14.5
390170122004,14.5
390170123001,7.9
390170123002,7.9
390170124001,1.7
390170124002,1.7
390170125001,6.4
390170125002,6.4
390170125003,6.4
390170125004,6.4
390170126001,15.3
390170126002,15.3
390170126003,15.3
390170127001,7.3
390170127002,7.3
390170127003,7.3
390170130001,20.4
390170130002,20.4
390170131001,13.5
390170131002,13.5
390170131003,13.5
390170132001,16.9
390170132002,16.9
390170133001,5.9
390170133002,5.9
390170134001,9.4
390170134002,9.4
390170135001,8.6
390170135002,8.6
390170135003,8.6
390170135004,8.6
390170136001,12.1
390170136002,12.1
390170136003,12.1
390170136004,12.1
390170139001,20.4
390170139002,20.4
390170139003,20.4
390170139004,20.4
390170140001,25.1
390170140002,25.1
390170141001,7.1
390170141002,7.1
390170143001,5.0
390170143002,5.0
390170143003,5.0
390170143004,5.0
390170144001,17.8
390170144002,17.8
390170144003,17.8
390170146001,13.7
390170146002,13.7
390170147001,9.8
390170147002,9.8
390170147003,9.8
390170148001,5.5
390170148002,5.5
390170148003,5.5
390170148004,5.5
390170148005,5.5
390170148006,5.5
390170148007,5.5
390170149001,4.0
390170149002,4.0
390170149003,4.0
390170149004,4.0
390170150001,2.4
390170150002,2.4
390170150003,2.4
390170150004,2.4
390170150005,2.4
390170151001,10.9
390170151002,10.9
390170151003,10.9
390170151004,10.9
390170151005,10.9
390197201001,9.9
390197201002,9.9
390197202001,2.4
390197202002,2.4
390197202003,2.4
390197203001,7.4
390197203002,7.4
390197203003,7.4
390197203004,7.4
390197203005,7.4
390197204001,6.9
390197204002,6.9
390197204003,6.9
390197204004,6.9
390197205001,3.7
390197205002,3.7
390197205003,3.7
390197205004,3.7
390197205005,3.7
390197206001,5.4
390197206002,5.4
390197206003,5.4
390197207001,4.1
390197207002,4.1
390197207003,4.1
390210101001,6.5
390210101002,6.5
390210102001,5.2
390210102002,5.2
390210102003,5.2
390210102004,5.2
390210102005,5.2
390210102006,5.2
390210104001,9.1
390210104002,9.1
390210104003,9.1
390210104004,9.1
390210105001,9.6
390210105002,9.6
390210105003,9.6
390210105004,9.6
390210106001,4.1
390210106002,4.1
390210106003,4.1
390210110011,7.9
390210110012,7.9
390210115011,5.5
390210115012,5.5
390210115013,5.5
390210115041,9.6
390210115042,9.6
390210115043,9.6
390210115044,9.6
390210115045,9.6
390210115051,3.1
390210115052,3.1
390210115053,3.1
390210115061,4.7
390210115062,4.7
390230002001,13.4
390230002002,13.4
390230003001,26.7
390230003002,26.7
390230004001,10.3
390230004002,10.3
390230004003,10.3
390230005001,29.8
390230005002,29.8
390230005003,29.8
390230006001,13.8
390230006002,13.8
390230006003,13.8
390230006004,13.8
390230007001,8.9
390230007002,8.9
390230009011,26.0
390230009012,26.0
390230009013,26.0
390230009021,12.1
390230010001,6.4
390230011011,16.6
390230011012,16.6
390230011021,7.1
390230011022,7.1
390230011023,7.1
390230012001,15.4
390230012002,15.4
390230012003,15.4
390230012004,15.4
390230012005,15.4
390230012006,15.4
390230013001,15.5
390230013002,15.5
390230013003,15.5
390230013004,15.5
390230013005,15.5
390230014001,5.7
390230014002,5.7
390230014003,5.7
390230014004,5.7
390230015001,10.3
390230015002,10.3
390230015003,10.3
390230015004,10.3
390230015005,10.3
390230016001,9.6
390230016002,9.6
390230016003,9.6
390230016004,9.6
390230017001,11.1
390230017002,11.1
390230019001,7.9
390230019002,7.9
390230019003,7.9
390230020001,4.7
390230020002,4.7
390230021001,8.0
390230021002,8.0
390230022001,3.0
390230022002,3.0
390230022003,3.0
390230022004,3.0
390230022005,3.0
390230023011,9.7
390230023012,9.7
390230024031,3.2
390230024032,3.2
390230024033,3.2
390230024034,3.2
390230024041,5.4
390230024042,5.4
390230025011,8.6
390230025021,10.9
390230025022,10.9
390230025023,10.9
390230025024,10.9
390230026011,9.2
390230026012,9.2
390230026013,9.2
390230026021,6.1
390230026022,6.1
390230026023,6.1
390230026051,3.7
390230026052,3.7
390230026061,2.0
390230026062,2.0
390230026063,2.0
390230026064,2.0
390230026065,2.0
390230027011,10.8
390230027012,10.8
390230027013,10.8
390230027021,5.3
390230027022,5.3
390230027023,5.3
390230028001,4.6
390230028002,4.6
390230028003,4.6
390230029011,8.3
390230029012,8.3
390230029013,8.3
390230029014,8.3
390230029021,7.0
390230029022,7.0
390230029023,7.0
390230029024,7.0
390230029025,7.0
390230030011,4.5
390230030012,4.5
390230030021,5.7
390230030022,5.7
390230030023,5.7
390230030024,5.7
390230031011,6.2
390230031012,6.2
390230031021,5.7
390230031022,5.7
390230032001,3.7
390230032002,3.7
390230032003,3.7
390230033011,4.4
390230033012,4.4
390230033013,4.4
390230033021,6.1
390230033022,6.1
390230033023,6.1
390230034001,16.0
390230034002,16.0
390230034003,16.0
390230034004,16.0
390230037001,4.8
390230037002,4.8
390230037003,4.8
390230037004,4.8
390230037005,4.8
390250401011,7.1
390250401012,7.1
390250401013,7.1
390250401021,6.2
390250402021,3.0
390250402022,3.0
390250402031,3.6
390250402032,3.6
390250402033,3.6
390250402041,1.1
390250402042,1.1
390250402043,1.1
390250402044,1.1
390250403011,2.1
390250403012,2.1
390250403021,3.1
390250403022,3.1
390250403031,3.3
390250403032,3.3
390250404011,2.5
390250404012,2.5
390250404013,2.5
390250404031,8.0
390250404041,2.2
390250404042,2.2
390250404051,1.9
390250404052,1.9
390250405001,3.1
390250405002,3.1
390250405003,3.1
390250405004,3.1
390250405005,3.1
390250406001,4.9
390250406002,4.9
390250406003,4.9
390250407011,4.1
390250407012,4.1
390250407013,4.1
390250407014,4.1
390250407021,2.3
390250407022,2.3
390250408001,5.4
390250408002,5.4
390250408003,5.4
390250408004,5.4
390250408005,5.4
390250409001,2.6
390250409002,2.6
390250409003,2.6
390250409004,2.6
390250410001,5.2
390250410002,5.2
390250410003,5.2
390250411011,4.7
390250411012,4.7
390250411021,3.7
390250411022,3.7
390250411031,5.9
390250411032,5.9
390250411033,5.9
390250411034,5.9
390250412001,3.2
390250412002,3.2
390250412003,3.2
390250412004,3.2
390250412005,3.2
390250413031,7.4
390250413032,7.4
390250413041,0.0
390250413051,2.5
390250413052,2.5
390250413061,3.9
390250413062,3.9
390250413063,3.9
390250413071,2.6
390250413072,2.6
390250413073,2.6
390250414031,6.5
390250414032,6.5
390250414033,6.5
390250414034,6.5
390250414041,4.1
390250414042,4.1
390250414043,4.1
390250414051,2.3
390250414052,2.3
390250414053,2.3
390250414054,2.3
390250414061,3.5
390250414062,3.5
390250415011,4.4
390250415012,4.4
390250415013,4.4
390250415021,5.4
390250415022,5.4
390250415023,5.4
390250415024,5.4
390250416001,7.7
390250416002,7.7
390250416003,7.7
390250416004,7.7
390250417011,9.4
390250417012,9.4
390250417013,9.4
390250417021,9.7
390250417022,9.7
390250417023,9.7
390250418001,11.2
390250418002,11.2
390250419001,9.9
390250419002,9.9
390250419003,9.9
390250419004,9.9
390250420001,3.3
390250420002,3.3
390250420003,3.3
390250420004,3.3
390250420005,3.3
390279643001,8.7
390279643002,8.7
390279643003,8.7
390279643004,8.7
390279644001,4.2
390279644002,4.2
390279644003,4.2
390279645001,7.2
390279645002,7.2
390279645003,7.2
390279645004,7.2
390279646001,8.3
390279646002,8.3
390279646003,8.3
390279646004,8.3
390279647001,7.7
390279647002,7.7
390279647003,7.7
390279647004,7.7
390279648001,4.8
390279648002,4.8
390279648003,4.8
390279649001,3.8
390279649002,3.8
390279649003,3.8
390279649004,3.8
390279650001,6.6
390279650002,6.6
390279650003,6.6
390279651001,6.7
390279651002,6.7
390279651003,6.7
390299501001,3.1
390299501002,3.1
390299501003,3.1
390299501004,3.1
390299502001,5.9
390299502002,5.9
390299502003,5.9
390299502004,5.9
390299502005,5.9
390299503001,4.9
390299503002,4.9
390299503003,4.9
390299503004,4.9
390299503005,4.9
390299504001,5.3
390299504002,5.3
390299504003,5.3
390299504004,5.3
390299505001,4.7
390299505002,4.7
390299505003,4.7
390299505004,4.7
390299505005,4.7
390299505006,4.7
390299506001,15.6
390299506002,15.6
390299506003,15.6
390299506004,15.6
390299506005,15.6
390299507001,5.3
390299507002,5.3
390299507003,5.3
390299507004,5.3
390299508001,5.0
390299508002,5.0
390299508003,5.0
390299508004,5.0
390299509001,9.3
390299509002,9.3
390299509003,9.3
390299510001,4.0
390299510002,4.0
390299510003,4.0
390299510004,4.0
390299511001,15.2
390299511002,15.2
390299511003,15.2
390299511004,15.2
390299511005,15.2
390299512001,11.0
390299512002,11.0
390299512003,11.0
390299512004,11.0
390299513001,12.7
390299513002,12.7
390299513003,12.7
390299513004,12.7
390299514001,2.9
390299514002,2.9
390299514003,2.9
390299514004,2.9
390299514005,2.9
390299515001,11.7
390299515002,11.7
390299515003,11.7
390299515004,11.7
390299515005,11.7
390299516001,3.1
390299516002,3.1
390299516003,3.1
390299516004,3.1
390299517001,4.0
390299517002,4.0
390299517003,4.0
390299517004,4.0
390299517005,4.0
390299518001,21.5
390299518002,21.5
390299518003,21.5
390299518004,21.5
390299519001,9.8
390299519002,9.8
390299519003,9.8
390299520001,8.1
390299520002,8.1
390299521001,20.8
390299521002,20.8
390299522001,13.1
390299523001,12.2
390299523002,12.2
390299523003,12.2
390299524001,8.8
390299524002,8.8
390299524003,8.8
390319609001,6.2
390319609002,6.2
390319609003,6.2
390319610001,4.5
390319610002,4.5
390319610003,4.5
390319610004,4.5
390319611001,4.8
390319611002,4.8
390319611003,4.8
390319612001,5.5
390319612002,5.5
390319612003,5.5
390319613001,10.8
390319613002,10.8
390319613003,10.8
390319613004,10.8
390319614001,13.5
390319614002,13.5
390319614003,13.5
390319615001,7.3
390319615002,7.3
390319615003,7.3
390319616001,4.7
390319616002,4.7
390319616003,4.7
390319617001,4.7
390319617002,4.7
390319617003,4.7
390319618001,4.2
390319618002,4.2
390319618003,4.2
390319618004,4.2
390339741001,5.7
390339741002,5.7
390339741003,5.7
390339741004,5.7
390339742001,4.9
390339742002,4.9
390339742003,4.9
390339742004,4.9
390339743001,8.8
390339743002,8.8
390339743003,8.8
390339744001,9.5
390339744002,9.5
390339744003,9.5
390339744004,9.5
390339745001,8.3
390339745002,8.3
390339745003,8.3
390339745004,8.3
390339745005,8.3
390339746001,3.8
390339746002,3.8
390339746003,3.8
390339747001,2.4
390339747002,2.4
390339747003,2.4
390339747004,2.4
390339748001,11.7
390339748002,11.7
390339749001,5.1
390339749002,5.1
390339749003,5.1
390339749004,5.1
390339750001,11.9
390339750002,11.9
390339750003,11.9
390339750004,11.9
390339751001,9.2
390339751002,9.2
390339751003,9.2
390339751004,9.2
390339752001,4.2
390339752002,4.2
390339752003,4.2
390339753001,14.3
390339753002,14.3
390339753003,14.3
390339753004,14.3
390351011011,17.0
390351011012,17.0
390351011021,4.4
390351011022,4.4
390351011023,4.4
390351012001,11.4
390351012002,11.4
390351013001,8.4
390351014001,12.7
390351014002,12.7
390351015011,14.3
390351016031,24.3
390351016032,24.3
390351016033,24.3
390351016034,24.3
390351017001,15.0
390351017002,15.0
390351017003,15.0
390351018001,23.6
390351018002,23.6
390351018003,23.6
390351019011,9.9
390351019012,9.9
390351021011,6.1
390351021012,6.1
390351021013,6.1
390351021021,9.3
390351021022,9.3
390351022001,8.7
390351022002,8.7
390351022003,8.7
390351023001,12.8
390351023002,12.8
390351023003,12.8
390351024011,17.2
390351024012,17.2
390351024021,24.2
390351024022,24.2
390351024023,24.2
390351024024,24.2
390351027001,14.6
390351027002,14.6
390351027003,14.6
390351027004,14.6
390351027005,14.6
390351027006,14.6
390351028001,21.1
390351028002,21.1
390351028003,21.1
390351029001,22.2
390351029002,22.2
390351031001,1.9
390351033001,12.1
390351034001,11.4
390351034002,11.4
390351034003,11.4
390351035001,10.5
390351035002,10.5
390351036021,9.9
390351036022,9.9
390351036023,9.9
390351036024,9.9
390351038001,14.2
390351038002,14.2
390351039001,19.8
390351039002,19.8
390351041001,17.3
390351041002,17.3
390351042001,4.7
390351042002,4.7
390351043001,4.2
390351043002,4.2
390351044001,3.5
390351044002,3.5
390351046001,8.6
390351046002,8.6
390351048001,11.2
390351048002,11.2
390351048003,11.2
390351049001,18.9
390351049002,18.9
390351049003,18.9
390351049004,18.9
390351051001,17.9
390351051002,17.9
390351051003,17.9
390351051004,17.9
390351053001,17.4
390351053002,17.4
390351053003,17.4
390351053004,17.4
390351054001,6.7
390351054002,6.7
390351054003,6.7
390351054004,6.7
390351054005,6.7
390351055001,14.3
390351055002,14.3
390351056021,19.0
390351056022,19.0
390351056023,19.0
390351057001,15.1
390351057002,15.1
390351057003,15.1
390351059001,6.9
390351059002,6.9
390351059003,6.9
390351061001,6.9
390351061002,6.9
390351061003,6.9
390351062001,5.7
390351062002,5.7
390351062003,5.7
390351063001,5.4
390351063002,5.4
390351064001,12.8
390351065001,6.8
390351065002,6.8
390351065003,6.8
390351066001,8.4
390351066002,8.4
390351066003,8.4
390351066004,8.4
390351068001,14.6
390351068002,14.6
390351069001,12.7
390351069002,12.7
390351069003,12.7
390351069004,12.7
390351070001,4.6
390351071011,2.9
390351077011,4.8
390351077012,4.8
390351078021,19.6
390351078022,19.6
390351082011,12.3
390351082012,12.3
390351083011,5.7
390351083012,5.7
390351083013,5.7
390351084001,11.5
390351084002,11.5
390351087011,43.0
390351087012,43.0
390351087013,43.0
390351093011,32.4
390351097011,42.2
390351097012,42.2
390351098011,46.3
390351105011,16.4
390351105012,16.4
390351108011,21.7
390351108012,21.7
390351109011,28.4
390351109012,28.4
390351109013,28.4
390351112021,21.0
390351112022,21.0
390351112023,21.0
390351114011,36.9
390351114012,36.9
390351115001,19.3
390351115002,19.3
390351116001,30.5
390351116002,30.5
390351117001,23.2
390351117002,23.2
390351118001,13.9
390351118002,13.9
390351119021,45.5
390351121001,32.7
390351121002,32.7
390351122001,34.6
390351122002,34.6
390351123011,41.5
390351123012,41.5
390351124001,15.8
390351124002,15.8
390351125001,30.8
390351125002,30.8
390351126001,37.4
390351126002,37.4
390351128001,18.7
390351131011,17.7
390351131012,17.7
390351135001,21.9
390351136001,20.4
390351138011,41.3
390351138012,41.3
390351138013,41.3
390351141001,30.1
390351143001,31.1
390351145011,17.6
390351145012,17.6
390351145013,17.6
390351146001,25.0
390351146002,25.0
390351147001,42.3
390351149001,31.2
390351149002,31.2
390351149003,31.2
390351149004,31.2
390351151001,24.7
390351152001,22.1
390351153001,29.3
390351154001,25.1
390351154002,25.1
390351157001,15.6
390351157002,15.6
390351158001,14.7
390351158002,14.7
390351158003,14.7
390351158004,14.7
390351158005,14.7
390351159001,21.6
390351159002,21.6
390351159003,21.6
390351159004,21.6
390351161001,20.8
390351161002,20.8
390351162001,19.2
390351162002,19.2
390351163001,27.1
390351163002,27.1
390351164001,36.2
390351164002,36.2
390351164003,36.2
390351164004,36.2
390351164005,36.2
390351165001,23.5
390351165002,23.5
390351165003,23.5
390351165004,23.5
390351166001,28.7
390351166002,28.7
390351166003,28.7
390351167001,25.6
390351167002,25.6
390351167003,25.6
390351168001,23.5
390351168002,23.5
390351168003,23.5
390351168004,23.5
390351169001,36.9
390351169002,36.9
390351169003,36.9
390351171011,16.8
390351171012,16.8
390351171013,16.8
390351171021,31.4
390351171022,31.4
390351172011,18.2
390351172012,18.2
390351172013,18.2
390351172021,9.4
390351172022,9.4
390351173001,25.6
390351173002,25.6
390351173003,25.6
390351174001,24.0
390351174002,24.0
390351175001,12.5
390351175002,12.5
390351175003,12.5
390351175004,12.5
390351176001,11.6
390351176002,11.6
390351176003,11.6
390351177001,5.9
390351177002,5.9
390351177003,5.9
390351177004,5.9
390351177005,5.9
390351178001,25.7
390351178002,25.7
390351178003,25.7
390351179001,11.3
390351179002,11.3
390351179003,11.3
390351179004,11.3
390351181011,30.4
390351181012,30.4
390351181013,30.4
390351182001,20.2
390351182002,20.2
390351182003,20.2
390351182004,20.2
390351183011,17.7
390351183012,17.7
390351183013,17.7
390351183014,17.7
390351184001,28.7
390351184002,28.7
390351184003,28.7
390351185001,17.9
390351185002,17.9
390351186021,43.9
390351186022,43.9
390351187001,10.1
390351187002,10.1
390351188001,7.7
390351188002,7.7
390351188003,7.7
390351189001,18.9
390351191001,0.0
390351192021,18.5
390351193001,29.5
390351193002,29.5
390351193003,29.5
390351193004,29.5
390351194011,14.3
390351194012,14.3
390351194013,14.3
390351194021,19.9
390351194022,19.9
390351194023,19.9
390351195011,10.2
390351195012,10.2
390351195013,10.2
390351195021,15.3
390351196001,24.5
